Player,,x,y,,X,Y
Pedri,,49,50,,35,69
Pedri,,47,56,,27,65
Pedri,,60,37,,38,82
Pedri,,64,14,,34,22
Pedri,,58,11,,52,10
Pedri,,85,49,,31,60
Pedri,,38,14,,25,35
Pedri,,70,9,,44,7
Pedri,,35,33,,66,35
Pedri,,34,4,,60,62
Pedri,,96,13,,58,37
Pedri,,73,53,,68,48
Pedri,,75,44,,28,69
Pedri,,68,4,,18,63
Pedri,,67,3,,42,46
Pedri,,68,5,,46,47
Pedri,,57,40,,37,30
Pedri,,80,24,,35,25
Pedri,,29,9,,12,26
Pedri,,19,38,,99,99
Pedri,,19,38,,58,83
Pedri,,13,72,,57,73
Pedri,,49,50,,31,90
Pedri,,39,65,,62,81
Pedri,,45,4,,63,67
Pedri,,73,46,,63,97
Pedri,,77,44,,41,72
Pedri,,79,43,,56,70
Pedri,,78,76,,41,84
Pedri,,55,4,,28,73
Pedri,,84,5,,8,65
Pedri,,54,79,,5,70
Pedri,,46,29,,4,71
Pedri,,55,29,,37,71
Pedri,,80,31,,37,71
Pedri,,86,53,,24,85
Pedri,,65,53,,39,26
Pedri,,68,43,,99,99
Pedri,,63,42,,19,92
Pedri,,77,73,,27,85
Pedri,,75,69,,36,81
Pedri,,29,80,,43,67
Pedri,,35,69,,62,67
Pedri,,52,54,,26,70
Pedri,,65,46,,14,43
Pedri,,75,78,,3,30
Pedri,,13,66,,99,99
Pedri,,66,71,,22,94
Pedri,,71,70,,22,94
Pedri,,63,90,,34,62
Pedri,,55,69,,61,11
Pedri,,56,71,,71,31
Pedri,,61,71,,73,18
Pedri,,45,53,,78,15
Pedri,,36,33,,62,24
Pedri,,36,36,,60,35
Pedri,,18,35,,84,10
Pedri,,58,47,,70,3
Pedri,,65,89,,68,6
Pedri,,69,26,,65,23
Pedri,,45,70,,56,54
Pedri,,55,71,,72,21
Pedri,,44,95,,25,52
Pedri,,46,60,,34,78
Pedri,,49,42,,29,69
Pedri,,24,57,,36,83
Pedri,,23,6,,99,99
Pedri,,53,7,,65,81
Pedri,,63,62,,99,99
Pedri,,40,67,,76,79
Pedri,,90,92,,65,83
Pedri,,45,46,,32,13
Pedri,,47,43,,37,70
Pedri,,55,58,,21,91
Pedri,,40,54,,,
Pedri,,20,31,,,
Pedri,,60,61,,,
Pedri,,80,65,,,
Pedri,,79,77,,,
Pedri,,77,100,,,
Pedri,,56,12,,,
Pedri,,74,50,,,
Pedri,,87,28,,,
Pedri,,77,22,,,
Pedri,,74,23,,,
